,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
197,305,0,3,5,11,0
198,306,2,0,16,11,0
199,306,2,1,14,14,0
200,306,2,3,15,11,0
201,307,1,0,24,10,0
202,307,1,2,18,15,0
203,307,1,3,24,9,0
204,308,1,0,14,12,0
205,308,1,2,39,9,0
206,308,1,3,9,13,0
207,309,3,0,20,11,0
208,309,3,1,14,14,0
209,309,3,2,2,4,0
210,310,3,0,21,8,0
211,310,3,1,28,10,0
212,310,3,2,20,11,0
213,311,2,0,14,12,0
214,311,2,1,27,12,0
215,311,2,3,41,9,0
216,312,3,0,24,7,0
217,312,3,1,13,15,0
218,312,3,2,22,8,0
219,313,0,1,15,16,0
220,313,0,2,33,5,0
221,313,0,3,14,11,0
222,314,0,1,12,17,0
223,314,0,2,30,7,0
224,314,0,3,11,10,0
225,315,0,1,20,14,0
226,315,0,2,10,11,0
227,315,0,3,7,13,0
228,316,1,0,30,9,0
229,316,1,2,35,10,0
230,316,1,3,11,8,0
231,317,0,1,30,12,0
232,317,0,2,22,12,0
233,317,0,3,5,8,0
234,318,0,1,28,11,0
235,318,0,2,3,13,0
236,318,0,3,19,11,0
237,319,0,1,30,12,0
238,319,0,2,16,6,0
239,319,0,3,11,13,0
