,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
197,39,3,2,15,8,0
198,39,3,4,1,3,0
199,39,3,5,0,3,0
200,40,2,0,0,6,0
201,40,2,1,0,4,0
202,40,2,3,35,7,0
203,40,2,4,2,7,0
204,40,2,5,0,7,0
205,41,2,0,0,7,0
206,41,2,1,0,2,0
207,41,2,3,8,7,0
208,41,2,4,1,9,0
209,41,2,5,0,8,0
210,42,3,0,0,3,0
211,42,3,1,0,8,0
212,42,3,2,18,8,0
213,42,3,4,10,4,0
214,42,3,5,0,3,0
215,43,2,0,0,7,0
216,43,2,1,0,4,0
217,43,2,3,5,7,0
218,43,2,4,0,7,0
219,43,2,5,0,6,0
220,44,3,0,0,5,0
221,44,3,1,0,5,0
222,44,3,2,28,5,0
223,44,3,4,7,6,0
224,44,3,5,0,6,0
225,45,3,0,0,4,0
226,45,3,1,0,5,0
227,45,3,2,27,6,0
228,45,3,4,6,6,0
229,45,3,5,0,6,0
230,46,3,0,0,2,0
231,46,3,1,0,7,0
232,46,3,2,14,7,0
233,46,3,4,0,4,0
234,46,3,5,0,4,0
235,47,2,0,0,6,0
236,47,2,1,0,5,0
237,47,2,3,38,6,0
238,47,2,4,4,6,0
239,47,2,5,0,6,0
240,48,2,0,0,7,0
241,48,2,1,0,5,0
242,48,2,3,23,7,0
243,48,2,4,0,7,0
244,48,2,5,0,7,0
245,49,3,0,0,5,0
246,49,3,1,0,4,0
247,49,3,2,17,5,0
248,49,3,4,4,7,0
249,49,3,5,0,7,0
250,50,2,0,0,8,0
251,50,2,1,0,3,0
252,50,2,3,2,8,0
253,50,2,4,0,8,0
254,50,2,5,0,8,0
255,51,2,0,0,7,0
256,51,2,1,0,5,0
257,51,2,3,40,7,0
258,51,2,4,0,7,0
259,51,2,5,0,6,0
260,52,3,0,0,7,0
261,52,3,1,0,4,0
262,52,3,2,16,4,0
263,52,3,4,0,7,0
264,52,3,5,0,7,0
265,53,3,0,0,3,0
266,53,3,1,0,5,0
267,53,3,2,39,5,0
268,53,3,4,7,6,0
269,53,3,5,0,6,0
270,54,2,0,0,8,0
271,54,2,1,0,2,0
272,54,2,3,13,9,0
273,54,2,4,0,9,0
274,54,2,5,0,9,0
275,55,2,0,0,8,0
276,55,2,1,0,2,0
277,55,2,3,8,8,0
278,55,2,4,0,9,0
279,55,2,5,0,9,0
280,56,3,0,0,2,0
281,56,3,1,0,6,0
282,56,3,2,11,6,0
283,56,3,4,0,5,0
284,56,3,5,0,5,0
285,57,2,0,0,5,0
286,57,2,1,0,3,0
287,57,2,3,36,5,0
288,57,2,4,0,7,0
289,57,2,5,0,6,0
290,58,3,0,0,1,0
291,58,3,1,0,7,0
292,58,3,2,16,7,0
293,58,3,4,1,4,0
294,58,3,5,0,4,0
295,59,2,0,0,6,0
296,59,2,1,0,3,0
297,59,2,3,25,6,0
298,59,2,4,1,8,0
299,59,2,5,0,8,0
300,60,3,0,0,3,0
301,60,3,1,0,5,0
302,60,3,2,39,6,0
303,60,3,4,1,6,0
304,60,3,5,0,6,0
305,61,3,0,0,2,0
306,61,3,1,0,5,0
307,61,3,2,13,7,0
308,61,3,4,6,6,0
309,61,3,5,0,5,0
310,62,2,0,0,5,0
311,62,2,1,0,6,0
312,62,2,3,17,5,0
313,62,2,4,0,6,0
314,62,2,5,0,4,0
315,63,2,0,0,5,0
316,63,2,1,0,5,0
317,63,2,3,18,6,0
318,63,2,4,1,7,0
319,63,2,5,0,6,0
320,64,3,0,0,7,0
321,64,3,1,0,9,0
322,64,3,2,19,9,0
323,64,3,4,37,2,0
324,64,3,5,0,2,0
325,65,2,0,0,7,0
326,65,2,1,0,4,0
327,65,2,3,36,7,0
328,65,2,4,0,7,0
329,65,2,5,0,7,0
330,66,3,0,0,7,0
331,66,3,1,0,7,0
332,66,3,2,5,7,0
333,66,3,4,10,4,0
334,66,3,5,0,4,0
335,67,2,0,0,8,0
336,67,2,1,0,3,0
337,67,2,3,18,8,0
338,67,2,4,1,8,0
339,67,2,5,0,8,0
340,68,3,0,0,5,0
341,68,3,1,0,8,0
342,68,3,2,27,8,0
343,68,3,4,20,3,0
344,68,3,5,0,3,0
345,69,2,0,0,7,0
346,69,2,1,0,4,0
347,69,2,3,9,7,0
348,69,2,4,1,7,0
349,69,2,5,0,7,0
350,70,3,0,0,6,0
351,70,3,1,0,7,0
352,70,3,2,21,7,0
353,70,3,4,17,4,0
354,70,3,5,0,4,0
355,71,2,0,0,8,0
356,71,2,1,0,2,0
357,71,2,3,11,8,0
358,71,2,4,0,9,0
359,71,2,5,0,8,0
360,72,3,0,0,5,0
361,72,3,1,0,7,0
362,72,3,2,38,7,0
363,72,3,4,8,4,0
364,72,3,5,0,4,0
365,73,3,0,0,1,0
366,73,3,1,0,7,0
367,73,3,2,20,7,0
368,73,3,4,0,4,0
369,73,3,5,0,4,0
370,74,3,0,0,4,0
371,74,3,1,0,6,0
372,74,3,2,5,7,0
373,74,3,4,6,5,0
374,74,3,5,0,4,0
375,75,2,0,0,8,0
376,75,2,1,0,3,0
377,75,2,3,17,8,0
378,75,2,4,1,8,0
379,75,2,5,0,8,0
380,76,4,0,0,6,0
381,76,4,1,0,7,0
382,76,4,2,39,7,0
383,76,4,3,19,6,0
384,76,4,5,0,4,0
385,77,3,0,0,3,0
386,77,3,1,0,7,0
387,77,3,2,39,8,0
388,77,3,4,0,5,0
389,77,3,5,0,3,0
390,78,3,0,0,4,0
391,78,3,1,0,5,0
392,78,3,2,43,5,0
393,78,3,4,7,6,0
394,78,3,5,0,6,0
395,79,3,0,0,7,0
396,79,3,1,0,8,0
397,79,3,2,41,8,0
398,79,3,4,7,3,0
399,79,3,5,0,3,0
400,80,2,0,0,7,0
401,80,2,1,0,3,0
402,80,2,3,14,8,0
403,80,2,4,0,8,0
404,80,2,5,0,8,0
405,81,3,0,0,7,0
406,81,3,1,0,8,0
407,81,3,2,8,8,0
408,81,3,4,16,3,0
409,81,3,5,0,3,0
410,82,2,0,0,6,0
411,82,2,1,0,4,0
412,82,2,3,37,6,0
413,82,2,4,2,7,0
414,82,2,5,0,7,0
415,83,3,0,0,4,0
416,83,3,1,0,5,0
417,83,3,2,18,7,0
418,83,3,4,0,6,0
419,83,3,5,0,4,0
420,84,3,0,0,3,0
421,84,3,1,0,5,0
422,84,3,2,23,7,0
423,84,3,4,1,6,0
424,84,3,5,0,5,0
425,85,3,0,0,7,0
426,85,3,1,0,9,0
427,85,3,2,21,9,0
428,85,3,4,26,3,0
429,85,3,5,0,2,0
430,86,2,0,0,6,0
431,86,2,1,0,5,0
432,86,2,3,11,6,0
433,86,2,4,0,6,0
434,86,2,5,0,6,0
435,87,3,0,0,4,0
436,87,3,1,0,7,0
437,87,3,2,18,7,0
438,87,3,4,0,4,0
439,87,3,5,0,4,0
440,88,3,0,0,0,0
441,88,3,1,0,7,0
442,88,3,2,23,8,0
443,88,3,4,0,4,0
444,88,3,5,0,3,0
445,89,2,0,0,7,0
446,89,2,1,0,3,0
447,89,2,3,29,7,0
448,89,2,4,1,8,0
449,89,2,5,0,7,0
450,90,3,0,0,1,0
451,90,3,1,0,5,0
452,90,3,2,29,5,0
453,90,3,4,0,6,0
454,90,3,5,0,6,0
455,91,2,0,0,2,0
456,91,2,1,0,8,0
457,91,2,3,27,2,0
458,91,2,4,0,3,0
459,91,2,5,0,3,0
460,92,3,0,0,5,0
461,92,3,1,0,5,0
462,92,3,2,28,5,0
463,92,3,4,2,6,0
464,92,3,5,0,6,0
465,93,3,0,0,3,0
466,93,3,1,0,6,0
467,93,3,2,17,6,0
468,93,3,4,3,5,0
469,93,3,5,0,5,0
470,94,2,0,0,6,0
471,94,2,1,0,5,0
472,94,2,3,9,6,0
473,94,2,4,0,6,0
474,94,2,5,0,6,0
475,95,3,0,0,4,0
476,95,3,1,0,5,0
477,95,3,2,34,5,0
478,95,3,4,3,6,0
479,95,3,5,0,6,0
480,96,2,0,0,5,0
481,96,2,1,0,5,0
482,96,2,3,1,5,0
483,96,2,4,3,6,0
484,96,2,5,0,6,0
485,97,3,0,0,2,0
486,97,3,1,0,7,0
487,97,3,2,26,8,0
488,97,3,4,5,5,0
489,97,3,5,0,4,0
490,98,2,0,0,8,0
491,98,2,1,0,3,0
492,98,2,3,26,8,0
493,98,2,4,0,8,0
494,98,2,5,0,8,0
495,99,2,0,0,4,0
496,99,2,1,0,5,0
497,99,2,3,31,5,0
498,99,2,4,1,6,0
499,99,2,5,0,6,0
500,100,2,0,0,7,0
501,100,2,1,0,4,0
502,100,2,3,22,7,0
503,100,2,4,3,7,0
504,100,2,5,0,7,0
505,101,2,0,0,7,0
506,101,2,1,0,4,0
507,101,2,3,29,7,0
508,101,2,4,3,7,0
509,101,2,5,0,7,0
510,102,3,0,0,2,0
511,102,3,1,0,7,0
512,102,3,2,18,7,0
513,102,3,4,0,5,0
514,102,3,5,0,4,0
515,103,3,0,0,3,0
516,103,3,1,0,6,0
517,103,3,2,11,6,0
518,103,3,4,2,5,0
519,103,3,5,0,5,0
520,104,3,0,0,4,0
521,104,3,1,0,6,0
522,104,3,2,21,7,0
523,104,3,4,6,5,0
524,104,3,5,0,4,0
525,105,3,0,0,2,0
526,105,3,1,0,8,0
527,105,3,2,15,9,0
528,105,3,4,4,3,0
529,105,3,5,0,2,0
530,106,3,0,0,5,0
531,106,3,1,0,6,0
532,106,3,2,36,6,0
533,106,3,4,8,5,0
534,106,3,5,0,5,0
535,107,2,0,0,7,0
536,107,2,1,0,3,0
537,107,2,3,10,8,0
538,107,2,4,1,8,0
539,107,2,5,0,8,0
540,108,3,0,0,3,0
541,108,3,1,0,7,0
542,108,3,2,40,7,0
543,108,3,4,3,4,0
544,108,3,5,0,4,0
545,109,2,0,0,7,0
546,109,2,1,0,3,0
547,109,2,3,27,8,0
548,109,2,4,2,8,0
549,109,2,5,0,8,0
550,110,4,0,0,9,0
551,110,4,1,0,7,0
552,110,4,2,38,7,0
553,110,4,3,2,6,0
554,110,4,5,0,4,0
555,111,2,0,0,7,0
556,111,2,1,0,3,0
557,111,2,3,11,8,0
558,111,2,4,1,8,0
559,111,2,5,0,8,0
560,112,3,0,0,5,0
561,112,3,1,0,5,0
562,112,3,2,33,5,0
563,112,3,4,3,6,0
564,112,3,5,0,6,0
565,113,2,0,0,5,0
566,113,2,1,0,4,0
567,113,2,3,1,5,0
568,113,2,4,0,6,0
569,113,2,5,0,6,0
570,114,3,0,0,5,0
571,114,3,1,0,5,0
572,114,3,2,13,6,0
573,114,3,4,2,6,0
574,114,3,5,0,6,0
575,115,3,0,0,3,0
576,115,3,1,0,5,0
577,115,3,2,17,6,0
578,115,3,4,9,6,0
579,115,3,5,0,6,0
580,116,3,0,0,5,0
581,116,3,1,0,5,0
582,116,3,2,11,5,0
583,116,3,4,29,6,0
584,116,3,5,0,6,0
585,117,2,0,0,6,0
586,117,2,1,0,3,0
587,117,2,3,27,7,0
588,117,2,4,0,7,0
589,117,2,5,0,7,0
590,118,2,0,0,7,0
591,118,2,1,0,3,0
592,118,2,3,14,7,0
593,118,2,4,0,9,0
594,118,2,5,0,8,0
595,119,3,0,0,2,0
596,119,3,1,0,5,0
597,119,3,2,20,6,0
598,119,3,4,5,6,0
599,119,3,5,0,5,0
600,120,3,0,0,6,0
601,120,3,1,0,8,0
602,120,3,2,37,9,0
603,120,3,4,5,4,0
604,120,3,5,0,2,0
605,121,2,0,0,8,0
606,121,2,1,0,3,0
607,121,2,3,24,8,0
608,121,2,4,5,9,0
609,121,2,5,0,8,0
610,122,2,0,0,3,0
611,122,2,1,0,5,0
612,122,2,3,31,5,0
613,122,2,4,0,5,0
614,122,2,5,0,5,0
615,123,2,0,0,7,0
616,123,2,1,0,3,0
617,123,2,3,29,7,0
618,123,2,4,0,8,0
619,123,2,5,0,8,0
620,124,2,0,0,6,0
621,124,2,1,0,4,0
622,124,2,3,27,6,0
623,124,2,4,2,7,0
624,124,2,5,0,7,0
625,125,2,0,0,7,0
626,125,2,1,0,4,0
627,125,2,3,24,7,0
628,125,2,4,4,8,0
629,125,2,5,0,8,0
630,126,3,0,0,2,0
631,126,3,1,0,8,0
632,126,3,2,23,8,0
633,126,3,4,0,3,0
634,126,3,5,0,3,0
635,127,3,0,0,5,0
636,127,3,1,0,4,0
637,127,3,2,27,6,0
638,127,3,4,1,7,0
639,127,3,5,0,7,0
640,128,2,0,0,6,0
641,128,2,1,0,2,0
642,128,2,3,35,6,0
643,128,2,4,0,9,0
644,128,2,5,0,9,0
645,129,3,0,0,4,0
646,129,3,1,0,6,0
647,129,3,2,24,7,0
648,129,3,4,1,5,0
649,129,3,5,0,5,0
650,130,3,0,0,5,0
651,130,3,1,0,7,0
652,130,3,2,38,7,0
653,130,3,4,8,4,0
654,130,3,5,0,4,0
655,131,2,0,0,8,0
656,131,2,1,0,3,0
657,131,2,3,24,8,0
658,131,2,4,1,8,0
659,131,2,5,0,8,0
660,132,2,0,0,8,0
661,132,2,1,0,4,0
