,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
197,39,3,2,27,6,0
198,39,3,4,6,6,0
199,39,3,5,0,2,0
200,40,3,0,0,4,0
201,40,3,1,0,6,0
202,40,3,2,6,5,0
203,40,3,4,1,7,0
204,40,3,5,0,5,0
205,41,2,0,0,6,0
206,41,2,1,2,7,0
207,41,2,3,3,8,0
208,41,2,4,0,6,0
209,41,2,5,0,10,0
210,42,3,0,0,9,0
211,42,3,1,0,8,0
212,42,3,2,21,6,0
213,42,3,4,1,5,0
214,42,3,5,2,4,0
215,43,2,0,0,6,0
216,43,2,1,0,6,0
217,43,2,3,1,8,0
218,43,2,4,0,6,0
219,43,2,5,0,7,0
220,44,2,0,0,6,0
221,44,2,1,0,9,0
222,44,2,3,12,6,0
223,44,2,4,4,4,0
224,44,2,5,0,5,0
225,45,2,0,0,6,0
226,45,2,1,0,5,0
227,45,2,3,3,4,0
228,45,2,4,5,7,0
229,45,2,5,0,7,0
230,46,3,0,0,7,0
231,46,3,1,0,8,0
232,46,3,2,21,10,0
233,46,3,4,10,2,0
234,46,3,5,0,3,0
235,47,3,0,0,6,0
236,47,3,1,0,4,0
237,47,3,2,22,7,0
238,47,3,4,17,6,0
239,47,3,5,0,3,0
240,48,2,0,0,5,0
241,48,2,1,0,4,0
242,48,2,3,11,8,0
243,48,2,4,0,8,0
244,48,2,5,0,9,0
245,49,3,0,0,4,0
246,49,3,1,0,0,0
247,49,3,2,20,9,0
248,49,3,4,1,8,0
249,49,3,5,0,7,0
250,50,2,0,0,5,0
251,50,2,1,0,6,0
252,50,2,3,0,8,0
253,50,2,4,0,4,0
254,50,2,5,0,6,0
255,51,2,0,0,6,0
256,51,2,1,0,7,0
257,51,2,3,13,3,0
258,51,2,4,0,3,0
259,51,2,5,0,4,0
260,52,2,0,0,2,0
261,52,2,1,0,1,0
262,52,2,3,21,6,0
263,52,2,4,3,7,0
264,52,2,5,0,6,0
265,53,2,0,0,7,0
266,53,2,1,0,6,0
267,53,2,3,9,7,0
268,53,2,4,14,3,0
269,53,2,5,0,0,0
270,54,2,0,0,5,0
271,54,2,1,4,1,0
272,54,2,3,6,6,0
273,54,2,4,0,8,0
274,54,2,5,0,8,0
275,55,2,0,0,7,0
276,55,2,1,0,3,0
277,55,2,3,4,5,0
278,55,2,4,0,7,0
279,55,2,5,0,7,0
280,56,3,0,0,6,0
281,56,3,1,0,6,0
282,56,3,2,11,5,0
283,56,3,4,0,5,0
284,56,3,5,0,2,0
285,57,2,0,0,4,0
286,57,2,1,0,3,0
287,57,2,3,14,8,0
288,57,2,4,0,4,0
289,57,2,5,0,8,0
290,58,3,0,0,6,0
291,58,3,1,0,7,0
292,58,3,2,9,10,0
293,58,3,4,0,8,0
294,58,3,5,0,7,0
295,59,3,0,0,2,0
296,59,3,1,0,2,0
297,59,3,2,12,6,0
298,59,3,4,3,8,0
299,59,3,5,0,7,0
300,60,2,0,0,5,0
301,60,2,1,0,6,0
302,60,2,3,18,7,0
303,60,2,4,2,5,0
304,60,2,5,0,8,0
305,61,2,0,0,6,0
306,61,2,1,0,7,0
307,61,2,3,15,7,0
308,61,2,4,1,5,0
309,61,2,5,0,0,0
310,62,3,0,0,4,0
311,62,3,1,0,6,0
312,62,3,2,36,3,0
313,62,3,4,0,5,0
314,62,3,5,0,6,0
315,63,2,0,0,5,0
316,63,2,1,0,6,0
317,63,2,3,14,6,0
318,63,2,4,2,4,0
319,63,2,5,0,6,0
320,64,3,0,0,9,0
321,64,3,1,0,8,0
322,64,3,2,41,6,0
323,64,3,4,5,4,0
324,64,3,5,0,2,0
325,65,3,0,0,7,0
326,65,3,1,0,7,0
327,65,3,2,14,7,0
328,65,3,4,0,7,0
329,65,3,5,0,4,0
330,66,3,0,0,4,0
331,66,3,1,0,8,0
332,66,3,2,16,7,0
333,66,3,4,0,1,0
334,66,3,5,0,4,0
335,67,2,0,0,4,0
336,67,2,1,0,4,0
337,67,2,3,34,7,0
338,67,2,4,0,7,0
339,67,2,5,0,6,0
340,68,2,0,0,7,0
341,68,2,1,0,8,0
342,68,2,3,19,3,0
343,68,2,4,18,3,0
344,68,2,5,0,3,0
345,69,3,0,0,6,0
346,69,3,1,0,7,0
347,69,3,2,32,7,0
348,69,3,4,0,5,0
349,69,3,5,0,6,0
350,70,2,0,0,8,0
351,70,2,1,0,7,0
352,70,2,3,20,7,0
353,70,2,4,1,7,0
354,70,2,5,0,2,0
355,71,2,0,0,3,0
356,71,2,1,2,6,0
357,71,2,3,3,8,0
358,71,2,4,0,7,0
359,71,2,5,0,8,0
360,72,3,0,0,8,0
361,72,3,1,5,7,0
362,72,3,2,16,7,0
363,72,3,4,10,7,0
364,72,3,5,0,4,0
365,73,2,0,0,5,0
366,73,2,1,0,2,0
367,73,2,3,19,4,0
368,73,2,4,4,7,0
369,73,2,5,0,5,0
370,74,3,0,0,4,0
371,74,3,1,3,5,0
372,74,3,2,12,8,0
373,74,3,4,0,1,0
374,74,3,5,0,2,0
375,75,2,0,0,3,0
376,75,2,1,0,5,0
377,75,2,3,13,9,0
378,75,2,4,0,7,0
379,75,2,5,0,8,0
380,76,2,0,0,6,0
381,76,2,1,0,7,0
382,76,2,3,15,4,0
383,76,2,4,6,7,0
384,76,2,5,0,2,0
385,77,2,0,0,10,0
386,77,2,1,0,7,0
387,77,2,3,4,4,0
388,77,2,4,3,5,0
389,77,2,5,0,4,0
390,78,2,0,0,6,0
391,78,2,1,0,7,0
392,78,2,3,6,7,0
393,78,2,4,0,4,0
394,78,2,5,0,5,0
395,79,2,0,0,8,0
396,79,2,1,0,9,0
397,79,2,3,19,5,0
398,79,2,4,0,4,0
399,79,2,5,0,5,0
400,80,2,0,0,5,0
401,80,2,1,0,4,0
402,80,2,3,11,6,0
403,80,2,4,0,9,0
404,80,2,5,0,8,0
405,81,2,0,0,5,0
406,81,2,1,0,9,0
407,81,2,3,17,4,0
408,81,2,4,33,3,0
409,81,2,5,0,1,0
410,82,4,0,1,7,0
411,82,4,1,0,8,0
412,82,4,2,25,3,0
413,82,4,3,25,7,0
414,82,4,5,0,8,0
415,83,2,0,0,6,0
416,83,2,1,3,6,0
417,83,2,3,21,7,0
418,83,2,4,0,5,0
419,83,2,5,0,4,0
420,84,3,0,0,3,0
421,84,3,1,0,6,0
422,84,3,2,13,8,0
423,84,3,4,0,5,0
424,84,3,5,0,5,0
425,85,2,0,0,8,0
426,85,2,1,0,6,0
427,85,2,3,21,5,0
428,85,2,4,0,5,0
429,85,2,5,0,2,0
430,86,2,0,0,6,0
431,86,2,1,0,5,0
432,86,2,3,5,5,0
433,86,2,4,0,5,0
434,86,2,5,0,7,0
435,87,3,0,0,5,0
436,87,3,1,0,1,0
437,87,3,2,15,6,0
438,87,3,4,2,8,0
439,87,3,5,0,4,0
440,88,3,0,0,8,0
441,88,3,1,0,8,0
442,88,3,2,17,7,0
443,88,3,4,0,2,0
444,88,3,5,0,5,0
445,89,2,0,0,2,0
446,89,2,1,0,1,0
447,89,2,3,5,6,0
448,89,2,4,0,8,0
449,89,2,5,0,8,0
450,90,2,0,0,5,0
451,90,2,1,0,7,0
452,90,2,3,22,3,0
453,90,2,4,0,2,0
454,90,2,5,0,5,0
455,91,2,0,0,7,0
456,91,2,1,0,7,0
457,91,2,3,0,4,0
458,91,2,4,0,4,0
459,91,2,5,0,4,0
460,92,2,0,0,3,0
461,92,2,1,0,1,0
462,92,2,3,24,6,0
463,92,2,4,0,8,0
464,92,2,5,0,5,0
465,93,2,0,0,6,0
466,93,2,1,0,7,0
467,93,2,3,36,6,0
