,Datapoint No.,P,Q,Total Counterfactual Points
0,100,0,1,0
1,100,0,2,0
2,100,0,3,0
3,101,0,1,0
4,101,0,2,0
5,101,0,3,0
6,102,1,0,0
7,102,1,2,0
8,102,1,3,0
9,103,0,1,0
10,103,0,2,0
11,103,0,3,0
12,104,1,0,0
13,104,1,2,0
14,104,1,3,0
15,105,3,0,0
16,105,3,1,0
17,105,3,2,0
18,106,2,0,0
19,106,2,1,0
20,106,2,3,0
21,107,0,1,0
22,107,0,2,0
23,107,0,3,0
24,108,1,0,0
25,108,1,2,0
26,108,1,3,0
27,109,1,0,0
28,109,1,2,0
29,109,1,3,0
30,110,0,1,0
31,110,0,2,0
32,110,0,3,0
33,111,0,1,0
34,111,0,2,0
35,111,0,3,0
36,112,3,0,0
37,112,3,1,0
38,112,3,2,0
39,113,1,0,0
40,113,1,2,0
41,113,1,3,0
42,114,3,0,0
43,114,3,1,0
44,114,3,2,0
45,115,2,0,0
46,115,2,1,0
47,115,2,3,0
48,116,3,0,0
49,116,3,1,0
50,116,3,2,0
51,117,2,0,0
52,117,2,1,0
53,117,2,3,0
54,118,0,1,0
55,118,0,2,0
56,118,0,3,0
57,119,2,0,0
58,119,2,1,0
59,119,2,3,0
60,120,1,0,0
61,120,1,2,0
62,120,1,3,0
63,121,3,0,0
64,121,3,1,0
65,121,3,2,0
66,122,2,0,0
67,122,2,1,0
68,122,2,3,0
69,123,1,0,0
70,123,1,2,0
71,123,1,3,0
72,124,3,0,0
73,124,3,1,0
74,124,3,2,0
75,125,3,0,0
76,125,3,1,0
77,125,3,2,0
78,126,0,1,0
79,126,0,2,0
80,126,0,3,0
81,127,2,0,0
82,127,2,1,0
83,127,2,3,0
84,128,0,1,0
85,128,0,2,0
86,128,0,3,0
87,129,2,0,0
88,129,2,1,0
89,129,2,3,0
90,130,3,0,0
91,130,3,1,0
92,130,3,2,0
93,131,0,1,0
94,131,0,2,0
95,131,0,3,0
96,132,2,0,0
97,132,2,1,0
98,132,2,3,0
99,133,2,0,0
100,133,2,1,0
101,133,2,3,0
102,134,0,1,0
103,134,0,2,0
104,134,0,3,0
105,135,3,0,0
106,135,3,1,0
107,135,3,2,0
108,136,1,0,0
109,136,1,2,0
110,136,1,3,0
111,137,0,1,0
112,137,0,2,0
113,137,0,3,0
114,138,0,1,0
115,138,0,2,0
116,138,0,3,0
117,139,2,0,0
118,139,2,1,0
119,139,2,3,0
120,140,2,0,0
121,140,2,1,0
122,140,2,3,0
123,141,1,0,0
124,141,1,2,0
125,141,1,3,0
126,142,2,0,0
127,142,2,1,0
128,142,2,3,0
129,143,2,0,0
130,143,2,1,0
131,143,2,3,0
132,144,0,1,0
133,144,0,2,0
134,144,0,3,0
135,145,0,1,0
136,145,0,2,0
137,145,0,3,0
138,146,0,1,0
139,146,0,2,0
140,146,0,3,0
141,147,1,0,0
142,147,1,2,0
143,147,1,3,0
144,148,1,0,0
145,148,1,2,0
146,148,1,3,0
147,149,2,0,0
148,149,2,1,0
149,149,2,3,0
150,150,3,0,0
151,150,3,1,0
152,150,3,2,0
153,151,1,0,0
154,151,1,2,0
155,151,1,3,0
156,152,1,0,0
157,152,1,2,0
158,152,1,3,0
159,153,0,1,0
160,153,0,2,0
161,153,0,3,0
162,154,2,0,0
163,154,2,1,0
164,154,2,3,0
165,155,2,0,0
166,155,2,1,0
167,155,2,3,0
168,156,0,1,0
169,156,0,2,0
170,156,0,3,0
171,157,1,0,0
172,157,1,2,0
173,157,1,3,0
174,158,0,1,0
175,158,0,2,0
176,158,0,3,0
177,159,2,0,0
178,159,2,1,0
179,159,2,3,0
180,160,2,0,0
181,160,2,1,0
182,160,2,3,0
183,161,3,0,0
184,161,3,1,0
185,161,3,2,0
186,162,3,0,0
187,162,3,1,0
188,162,3,2,0
189,163,2,0,0
190,163,2,1,0
191,163,2,3,0
192,164,1,0,0
193,164,1,2,0
194,164,1,3,0
195,165,0,1,0
196,165,0,2,0
197,165,0,3,0
198,166,1,0,0
199,166,1,2,0
200,166,1,3,0
201,167,2,0,0
202,167,2,1,0
203,167,2,3,0
204,168,2,0,0
205,168,2,1,0
206,168,2,3,0
207,169,3,0,0
208,169,3,1,0
209,169,3,2,0
210,170,3,0,0
211,170,3,1,0
212,170,3,2,0
213,171,0,1,0
214,171,0,2,0
215,171,0,3,0
216,172,1,0,0
217,172,1,2,0
218,172,1,3,0
219,173,0,1,0
220,173,0,2,0
221,173,0,3,0
222,174,3,0,0
223,174,3,1,0
224,174,3,2,0
225,175,1,0,0
226,175,1,2,0
227,175,1,3,0
228,176,1,0,0
229,176,1,2,0
230,176,1,3,0
231,177,2,0,0
232,177,2,1,0
233,177,2,3,0
234,178,1,0,0
235,178,1,2,0
236,178,1,3,0
237,179,0,1,0
238,179,0,2,0
239,179,0,3,0
240,180,0,1,0
241,180,0,2,0
242,180,0,3,0
243,181,0,1,0
244,181,0,2,0
245,181,0,3,0
246,182,0,1,0
247,182,0,2,0
248,182,0,3,0
249,183,0,1,0
250,183,0,2,0
251,183,0,3,0
252,184,3,0,0
253,184,3,1,0
254,184,3,2,0
255,185,2,0,0
256,185,2,1,0
257,185,2,3,0
258,186,0,1,0
259,186,0,2,0
260,186,0,3,0
261,187,3,0,0
262,187,3,1,0
263,187,3,2,0
264,188,0,1,0
265,188,0,2,0
266,188,0,3,0
267,189,0,1,0
268,189,0,2,0
269,189,0,3,0
270,190,0,1,0
271,190,0,2,0
272,190,0,3,0
273,191,0,1,0
274,191,0,2,0
275,191,0,3,0
276,192,1,0,0
277,192,1,2,0
278,192,1,3,0
279,193,3,0,0
280,193,3,1,0
281,193,3,2,0
282,194,3,0,0
283,194,3,1,0
284,194,3,2,0
285,195,1,0,0
286,195,1,2,0
287,195,1,3,0
288,196,0,1,0
289,196,0,2,0
290,196,0,3,0
291,197,1,0,0
292,197,1,2,0
293,197,1,3,0
294,198,1,0,0
295,198,1,2,0
296,198,1,3,0
297,199,1,0,0
298,199,1,2,0
299,199,1,3,0
