,Datapoint No.,P,Q,Total Counterfactual Points
0,200,1,0,0
1,200,1,2,0
2,200,1,3,0
3,201,2,0,0
4,201,2,1,0
5,201,2,3,0
6,202,2,0,0
7,202,2,1,0
8,202,2,3,0
9,203,3,0,0
10,203,3,1,0
11,203,3,2,0
12,204,3,0,0
13,204,3,1,0
14,204,3,2,0
15,205,3,0,0
16,205,3,1,0
17,205,3,2,0
18,206,1,0,0
19,206,1,2,0
20,206,1,3,0
21,207,2,0,0
22,207,2,1,0
23,207,2,3,0
24,208,0,1,0
25,208,0,2,0
26,208,0,3,0
27,209,0,1,0
28,209,0,2,0
29,209,0,3,0
30,210,0,1,0
31,210,0,2,0
32,210,0,3,0
33,211,2,0,0
34,211,2,1,0
35,211,2,3,0
36,212,1,0,0
37,212,1,2,0
38,212,1,3,0
39,213,1,0,0
40,213,1,2,0
41,213,1,3,0
42,214,3,0,0
43,214,3,1,0
44,214,3,2,0
45,215,1,0,0
46,215,1,2,0
47,215,1,3,0
48,216,0,1,0
49,216,0,2,0
50,216,0,3,0
51,217,2,0,0
52,217,2,1,0
53,217,2,3,0
54,218,1,0,0
55,218,1,2,0
56,218,1,3,0
57,219,1,0,0
58,219,1,2,0
59,219,1,3,0
60,220,3,0,0
61,220,3,1,0
62,220,3,2,0
63,221,2,0,0
64,221,2,1,0
65,221,2,3,0
66,222,3,0,0
67,222,3,1,0
68,222,3,2,0
69,223,0,1,0
70,223,0,2,0
71,223,0,3,0
72,224,0,1,0
73,224,0,2,0
74,224,0,3,0
75,225,2,0,0
76,225,2,1,0
77,225,2,3,0
78,226,1,0,0
79,226,1,2,0
80,226,1,3,0
81,227,3,0,0
82,227,3,1,0
83,227,3,2,0
84,228,0,1,0
85,228,0,2,0
86,228,0,3,0
87,229,1,0,0
88,229,1,2,0
89,229,1,3,0
90,230,2,0,0
91,230,2,1,0
92,230,2,3,0
93,231,0,1,0
94,231,0,2,0
95,231,0,3,0
96,232,2,0,0
97,232,2,1,0
98,232,2,3,0
99,233,3,0,0
100,233,3,1,0
101,233,3,2,0
102,234,2,0,0
103,234,2,1,0
104,234,2,3,0
105,235,0,1,0
106,235,0,2,0
107,235,0,3,0
108,236,1,0,0
109,236,1,2,0
110,236,1,3,0
111,237,3,0,0
112,237,3,1,0
113,237,3,2,0
114,238,3,0,0
115,238,3,1,0
116,238,3,2,0
117,239,0,1,0
118,239,0,2,0
119,239,0,3,0
120,240,1,0,0
121,240,1,2,0
122,240,1,3,0
123,241,3,0,0
124,241,3,1,0
125,241,3,2,0
126,242,3,0,0
127,242,3,1,0
128,242,3,2,0
129,243,3,0,0
130,243,3,1,0
131,243,3,2,0
132,244,0,1,0
133,244,0,2,0
134,244,0,3,0
135,245,3,0,0
136,245,3,1,0
137,245,3,2,0
138,246,1,0,0
139,246,1,2,0
140,246,1,3,0
141,247,2,0,0
142,247,2,1,0
143,247,2,3,0
144,248,3,0,0
145,248,3,1,0
146,248,3,2,0
147,249,3,0,0
148,249,3,1,0
149,249,3,2,0
150,250,2,0,0
151,250,2,1,0
152,250,2,3,0
153,251,1,0,0
154,251,1,2,0
155,251,1,3,0
156,252,1,0,0
157,252,1,2,0
158,252,1,3,0
159,253,3,0,0
160,253,3,1,0
161,253,3,2,0
162,254,3,0,0
163,254,3,1,0
164,254,3,2,0
165,255,1,0,0
166,255,1,2,0
167,255,1,3,0
168,256,3,0,0
169,256,3,1,0
170,256,3,2,0
171,257,3,0,0
172,257,3,1,0
173,257,3,2,0
174,258,3,0,0
175,258,3,1,0
176,258,3,2,0
177,259,3,0,0
178,259,3,1,0
179,259,3,2,0
180,260,3,0,0
181,260,3,1,0
182,260,3,2,0
183,261,0,1,0
184,261,0,2,0
185,261,0,3,0
186,262,1,0,0
187,262,1,2,0
188,262,1,3,0
189,263,2,0,0
190,263,2,1,0
191,263,2,3,0
192,264,2,0,0
193,264,2,1,0
194,264,2,3,0
195,265,2,0,0
196,265,2,1,0
197,265,2,3,0
198,266,3,0,0
199,266,3,1,0
200,266,3,2,0
201,267,0,1,0
202,267,0,2,0
203,267,0,3,0
204,268,2,0,0
205,268,2,1,0
206,268,2,3,0
207,269,3,0,0
208,269,3,1,0
209,269,3,2,0
210,270,2,0,0
211,270,2,1,0
212,270,2,3,0
213,271,2,0,0
214,271,2,1,0
215,271,2,3,0
216,272,2,0,0
217,272,2,1,0
218,272,2,3,0
219,273,1,0,0
220,273,1,2,0
221,273,1,3,0
222,274,0,1,0
223,274,0,2,0
224,274,0,3,0
225,275,2,0,0
226,275,2,1,0
227,275,2,3,0
228,276,0,1,0
229,276,0,2,0
230,276,0,3,0
231,277,3,0,0
232,277,3,1,0
233,277,3,2,0
234,278,3,0,0
235,278,3,1,0
236,278,3,2,0
237,279,1,0,0
238,279,1,2,0
239,279,1,3,0
240,280,3,0,0
241,280,3,1,0
242,280,3,2,0
243,281,1,0,0
244,281,1,2,0
245,281,1,3,0
246,282,1,0,0
247,282,1,2,0
248,282,1,3,0
249,283,3,0,0
250,283,3,1,0
251,283,3,2,0
252,284,1,0,0
253,284,1,2,0
254,284,1,3,0
255,285,2,0,0
256,285,2,1,0
257,285,2,3,0
258,286,0,1,0
259,286,0,2,0
260,286,0,3,0
261,287,0,1,0
262,287,0,2,0
263,287,0,3,0
264,288,3,0,0
265,288,3,1,0
266,288,3,2,0
267,289,0,1,0
268,289,0,2,0
269,289,0,3,0
270,290,1,0,0
271,290,1,2,0
272,290,1,3,0
273,291,2,0,0
274,291,2,1,0
275,291,2,3,0
276,292,3,0,0
277,292,3,1,0
278,292,3,2,0
279,293,3,0,0
280,293,3,1,0
281,293,3,2,0
282,294,3,0,0
283,294,3,1,0
284,294,3,2,0
285,295,1,0,0
286,295,1,2,0
287,295,1,3,0
288,296,1,0,0
289,296,1,2,0
290,296,1,3,0
291,297,0,1,0
292,297,0,2,0
293,297,0,3,0
294,298,1,0,0
295,298,1,2,0
296,298,1,3,0
297,299,3,0,0
298,299,3,1,0
299,299,3,2,0
