,Datapoint No.,P,Q,Total Counterfactual Points
0,300,3,0,0
1,300,3,1,0
2,300,3,2,0
3,301,0,1,0
4,301,0,2,0
5,301,0,3,0
6,302,1,0,0
7,302,1,2,0
8,302,1,3,0
9,303,2,0,0
10,303,2,1,0
11,303,2,3,0
12,304,2,0,0
13,304,2,1,0
14,304,2,3,0
15,305,0,1,0
16,305,0,2,0
17,305,0,3,0
18,306,3,0,0
19,306,3,1,0
20,306,3,2,0
21,307,3,0,0
22,307,3,1,0
23,307,3,2,0
24,308,2,0,0
25,308,2,1,0
26,308,2,3,0
27,309,3,0,0
28,309,3,1,0
29,309,3,2,0
30,310,2,0,0
31,310,2,1,0
32,310,2,3,0
33,311,3,0,0
34,311,3,1,0
35,311,3,2,0
36,312,2,0,0
37,312,2,1,0
38,312,2,3,0
39,313,0,1,0
40,313,0,2,0
41,313,0,3,0
42,314,2,0,0
43,314,2,1,0
44,314,2,3,0
45,315,1,0,0
46,315,1,2,0
47,315,1,3,0
48,316,1,0,0
49,316,1,2,0
50,316,1,3,0
51,317,1,0,0
52,317,1,2,0
53,317,1,3,0
54,318,0,1,0
55,318,0,2,0
56,318,0,3,0
57,319,0,1,0
58,319,0,2,0
59,319,0,3,0
60,320,0,1,0
61,320,0,2,0
62,320,0,3,0
63,321,2,0,0
64,321,2,1,0
65,321,2,3,0
66,322,3,0,0
67,322,3,1,0
68,322,3,2,0
69,323,3,0,0
70,323,3,1,0
71,323,3,2,0
72,324,1,0,0
73,324,1,2,0
74,324,1,3,0
75,325,0,1,0
76,325,0,2,0
77,325,0,3,0
78,326,1,0,0
79,326,1,2,0
80,326,1,3,0
81,327,0,1,0
82,327,0,2,0
83,327,0,3,0
84,328,2,0,0
85,328,2,1,0
86,328,2,3,0
87,329,2,0,0
88,329,2,1,0
89,329,2,3,0
90,330,3,0,0
91,330,3,1,0
92,330,3,2,0
93,331,0,1,0
94,331,0,2,0
95,331,0,3,0
96,332,3,0,0
97,332,3,1,0
98,332,3,2,0
99,333,3,0,0
100,333,3,1,0
101,333,3,2,0
102,334,2,0,0
103,334,2,1,0
104,334,2,3,0
105,335,1,0,0
106,335,1,2,0
107,335,1,3,0
108,336,3,0,0
109,336,3,1,0
110,336,3,2,0
111,337,0,1,0
112,337,0,2,0
113,337,0,3,0
114,338,0,1,0
115,338,0,2,0
116,338,0,3,0
117,339,2,0,0
118,339,2,1,0
119,339,2,3,0
120,340,1,0,0
121,340,1,2,0
122,340,1,3,0
123,341,3,0,0
124,341,3,1,0
125,341,3,2,0
126,342,2,0,0
127,342,2,1,0
128,342,2,3,0
129,343,0,1,0
130,343,0,2,0
131,343,0,3,0
132,344,1,0,0
133,344,1,2,0
134,344,1,3,0
135,345,1,0,0
136,345,1,2,0
137,345,1,3,0
138,346,1,0,0
139,346,1,2,0
140,346,1,3,0
141,347,1,0,0
142,347,1,2,0
143,347,1,3,0
144,348,1,0,0
145,348,1,2,0
146,348,1,3,0
147,349,3,0,0
148,349,3,1,0
149,349,3,2,0
150,350,2,0,0
151,350,2,1,0
152,350,2,3,0
153,351,0,1,0
154,351,0,2,0
155,351,0,3,0
156,352,0,1,0
157,352,0,2,0
158,352,0,3,0
159,353,3,0,0
160,353,3,1,0
161,353,3,2,0
162,354,3,0,0
163,354,3,1,0
164,354,3,2,0
165,355,0,1,0
166,355,0,2,0
167,355,0,3,0
168,356,3,0,0
169,356,3,1,0
170,356,3,2,0
171,357,0,1,0
172,357,0,2,0
173,357,0,3,0
174,358,0,1,0
175,358,0,2,0
176,358,0,3,0
177,359,2,0,0
178,359,2,1,0
179,359,2,3,0
180,360,0,1,0
181,360,0,2,0
182,360,0,3,0
183,361,1,0,0
184,361,1,2,0
185,361,1,3,0
186,362,2,0,0
187,362,2,1,0
188,362,2,3,0
189,363,2,0,0
190,363,2,1,0
191,363,2,3,0
192,364,2,0,0
193,364,2,1,0
194,364,2,3,0
195,365,3,0,0
196,365,3,1,0
197,365,3,2,0
198,366,0,1,0
199,366,0,2,0
200,366,0,3,0
201,367,3,0,0
202,367,3,1,0
203,367,3,2,0
204,368,2,0,0
205,368,2,1,0
206,368,2,3,0
207,369,3,0,0
208,369,3,1,0
209,369,3,2,0
210,370,3,0,0
211,370,3,1,0
212,370,3,2,0
213,371,3,0,0
214,371,3,1,0
215,371,3,2,0
216,372,3,0,0
217,372,3,1,0
218,372,3,2,0
219,373,2,0,0
220,373,2,1,0
221,373,2,3,0
222,374,1,0,0
223,374,1,2,0
224,374,1,3,0
225,375,1,0,0
226,375,1,2,0
227,375,1,3,0
228,376,0,1,0
229,376,0,2,0
230,376,0,3,0
231,377,3,0,0
232,377,3,1,0
233,377,3,2,0
234,378,1,0,0
235,378,1,2,0
236,378,1,3,0
237,379,3,0,0
238,379,3,1,0
239,379,3,2,0
240,380,3,0,0
241,380,3,1,0
242,380,3,2,0
243,381,0,1,0
244,381,0,2,0
245,381,0,3,0
246,382,2,0,0
247,382,2,1,0
248,382,2,3,0
249,383,3,0,0
250,383,3,1,0
251,383,3,2,0
252,384,2,0,0
253,384,2,1,0
254,384,2,3,0
255,385,3,0,0
256,385,3,1,0
257,385,3,2,0
258,386,3,0,0
259,386,3,1,0
260,386,3,2,0
261,387,3,0,0
262,387,3,1,0
263,387,3,2,0
264,388,0,1,0
265,388,0,2,0
266,388,0,3,0
267,389,0,1,0
268,389,0,2,0
269,389,0,3,0
270,390,2,0,0
271,390,2,1,0
272,390,2,3,0
273,391,3,0,0
274,391,3,1,0
275,391,3,2,0
276,392,0,1,0
277,392,0,2,0
278,392,0,3,0
279,393,0,1,0
280,393,0,2,0
281,393,0,3,0
282,394,2,0,0
283,394,2,1,0
284,394,2,3,0
285,395,3,0,0
286,395,3,1,0
287,395,3,2,0
288,396,2,0,0
289,396,2,1,0
290,396,2,3,0
291,397,1,0,0
292,397,1,2,0
293,397,1,3,0
294,398,1,0,0
295,398,1,2,0
296,398,1,3,0
297,399,2,0,0
298,399,2,1,0
299,399,2,3,0
